,frame_id,coord,tracklet_id
264,53,[363.40661425 357.32551777],1
265,53,[827.4623489  302.78894534],2
266,53,[545.92116753 267.28475722],3
267,53,[610.49358426 489.18754951],5
268,54,[363.83916447 358.4204519 ],1
269,54,[831.87373687 295.62095633],2
270,54,[547.30754179 266.78509911],3
271,54,[600.680231   489.13843573],5
272,54,[486.19395144 274.9179513 ],4
273,55,[360.61874229 359.18358021],1
274,55,[840.61069001 269.14297539],2
275,55,[548.73305583 272.65434563],3
276,55,[566.2300696  490.14878431],5
277,55,[493.42784295 254.99430651],4
278,56,[359.41240243 358.28143743],1
279,56,[840.75606133 268.34260477],2
280,56,[547.32734522 263.60846667],3
281,56,[537.81610593 492.91353705],5
282,56,[492.69019089 243.81629979],4
283,57,[357.25987462 356.89350259],1
284,57,[843.10020832 271.95500028],2
285,57,[545.63753774 255.38210809],3
286,57,[513.0902569  496.00162654],5
287,58,[356.83633854 349.94096161],1
288,58,[843.38903374 273.15416726],2
289,58,[542.90718459 251.35079102],3
290,58,[509.80249081 495.61597876],5
291,58,[413.58557742 269.72827957],8
292,58,[484.10233729 228.52917853],4
293,59,[355.56958483 348.92354165],1
294,59,[844.40172238 274.19945435],2
295,59,[540.09390614 246.34255821],3
296,59,[509.97091887 493.26011654],5
297,60,[357.02072966 347.89306151],1
298,60,[845.6493014  277.11874001],2
299,60,[541.71756462 250.36944748],3
300,60,[509.7396849  491.76971302],5
301,60,[501.16397562 219.66053597],4
302,61,[353.063796   347.09452946],1
303,61,[847.42015058 282.03343362],2
304,61,[542.603305   253.27928997],3
305,61,[510.47909366 490.36781059],5
306,62,[352.94474325 347.78437662],1
307,62,[850.57449183 279.7806481 ],2
308,62,[537.43051407 245.43239516],3
309,62,[512.23796629 490.7176358 ],5
310,63,[354.05831814 348.2197735 ],1
311,63,[857.14022627 269.58489662],2
312,63,[534.43752352 242.52273722],3
313,63,[515.91802649 491.74779431],5
314,64,[355.71305304 348.63185338],1
315,64,[857.07287322 267.69377908],2
316,64,[531.73321041 243.41609331],3
317,64,[520.28926177 491.51596588],5
318,65,[355.81023775 350.42496013],1
319,65,[858.35509206 270.99137448],2
320,65,[530.49924465 243.71146769],3
321,65,[524.58037714 488.1750196 ],5
322,66,[355.62164765 351.02492294],1
323,66,[857.14106388 273.29091593],2
324,66,[533.44675072 244.53554045],3
325,66,[528.10917604 490.20831142],5
326,67,[355.17921999 350.12087197],1
327,67,[859.83202427 279.71436499],2
328,67,[533.84519801 245.01068812],3
329,67,[532.88450248 491.93294762],5
330,68,[353.22630624 349.32501295],1
331,68,[861.92453167 292.76140114],2
332,68,[533.48745266 245.27426028],3
333,68,[539.34114395 490.17580367],5
334,69,[351.37521001 348.62623755],1
335,69,[857.41685875 303.45128356],2
336,69,[535.25939527 241.27648603],3
337,69,[537.10561967 491.97254566],5
338,70,[350.31680417 347.09089417],1
339,70,[858.16085812 310.34717352],2
340,70,[546.25729214 252.88522993],3
341,70,[537.3543947  492.26513343],5
342,70,[474.44977652 270.21312191],8
343,71,[349.84288479 343.24373884],1
344,71,[849.2943903  305.24191015],2
345,71,[549.49076009 259.65739749],3
346,71,[536.48337616 492.69803234],5
347,72,[352.39361389 339.75776055],1
348,72,[843.20522483 302.36603799],2
349,72,[556.92485368 266.78089448],3
350,72,[538.4515113  492.49382886],5
351,72,[507.17932908 247.915509  ],8
352,73,[350.65600404 338.48831487],1
353,73,[851.09695013 317.13164064],2
354,73,[545.93693345 489.09308065],5
355,73,[521.91087793 250.34686598],8
356,74,[350.73063155 334.39394823],1
357,74,[853.67057339 327.49343532],2
358,74,[543.15734565 489.22568555],5
359,74,[545.59163461 252.8677683 ],3
360,75,[352.18303539 330.73603022],1
361,75,[852.04779251 339.48463552],2
362,75,[540.38696383 483.79781521],5
363,75,[535.29919711 246.94164612],3
364,75,[498.59114537 255.11188871],8
365,76,[354.80484989 326.18610616],1
366,76,[836.08113   326.0911182],2
367,76,[540.67612223 480.96196538],5
368,76,[533.25092216 247.45659127],3
369,76,[495.92638082 254.39064883],8
370,77,[354.23209492 324.45225723],1
371,77,[845.09210511 344.89733888],2
372,77,[541.99165016 479.89799095],5
373,77,[529.14028134 241.70718277],3
374,77,[496.10473438 247.4503782 ],8
375,78,[331.5274922  322.83849582],1
376,78,[837.99822094 322.9015621 ],2
377,78,[541.36333029 477.9607119 ],5
378,78,[529.44031232 244.01443866],3
379,79,[297.39856073 324.05979741],1
380,79,[852.42239478 351.29667295],2
381,79,[543.76783145 475.46923148],5
382,79,[535.26436118 245.06482092],3
383,80,[271.20833534 331.98740901],1
384,80,[845.17102963 322.65774997],2
385,80,[543.98640955 474.88093681],5
386,80,[541.70354508 243.63792538],3
387,80,[481.3575314  215.37758842],8
388,81,[240.71121529 342.25385102],1
389,81,[859.36802238 352.21567596],2
390,81,[544.60488207 473.84775041],5
391,81,[547.70171033 239.05201416],3
392,81,[489.21860148 217.80354327],8
393,82,[226.41962303 344.56325738],1
394,82,[863.30152655 363.05596144],2
395,82,[546.21527609 473.52846961],5
396,82,[550.74443139 236.79376035],3
397,82,[478.58695228 219.4083984 ],8
398,82,[823.19051514 282.04145355],10
399,82,[359.24135413 287.40969255],4
400,83,[223.3524852  346.61063458],1
401,83,[851.44943083 338.92441724],2
402,83,[547.26281695 473.98396132],5
403,83,[553.72476147 233.40541357],3
404,83,[477.77361151 219.70587755],8
405,83,[390.42800165 268.77030355],4
406,84,[223.8235974  346.25714525],1
407,84,[844.1188668  326.22265311],2
408,84,[548.91764164 474.45781246],5
409,84,[554.14770919 230.12699759],3
410,84,[486.92125548 219.54063547],8
411,84,[385.32016661 269.43979504],4
412,85,[224.66073206 346.73960538],1
413,85,[839.67342997 317.63758365],2
414,85,[550.89708742 473.91097272],5
415,85,[553.98460803 227.27273417],3
416,85,[484.34240178 222.00090771],8
417,85,[393.03977422 265.12469495],4
418,86,[223.04300221 346.08335597],1
419,86,[551.24836911 473.85979272],5
420,86,[553.48342838 224.87399305],3
421,86,[474.46935273 229.91109996],8
422,86,[369.43753605 281.35745753],4
423,86,[833.14477307 291.75435187],10
424,87,[220.93369219 349.02133047],1
425,87,[551.79707652 473.4320412 ],5
426,87,[553.77727169 224.40992898],3
427,87,[482.16629904 228.97419289],8
428,87,[832.87791984 294.7542369 ],10
429,88,[212.71213314 352.09490552],1
430,88,[551.36088789 473.12189411],5
431,88,[553.77478268 225.20303884],3
432,88,[485.86529508 228.6318676 ],8
433,88,[834.53286989 296.18380068],10
434,89,[205.15269027 357.00024881],1
435,89,[550.36507878 473.41997109],5
436,89,[554.24305328 224.06690352],3
437,89,[491.37871966 227.26739824],8
438,89,[835.3424744  298.45384056],10
439,90,[200.45145796 357.72217851],1
440,90,[549.82948863 473.57915034],5
441,90,[554.21329519 224.55590745],3
442,90,[497.12090216 226.22425474],8
443,90,[835.85158549 300.14789454],10
444,91,[200.35044057 357.87525512],1
445,91,[550.01287406 474.3429969 ],5
446,91,[554.00688276 224.16055018],3
447,91,[834.95566742 303.30177317],10
448,92,[199.42893849 357.95922131],1
449,92,[550.58151104 474.68448572],5
450,92,[551.82557088 220.33261093],3
451,92,[834.9280644 308.3635012],10
452,93,[200.70053058 357.58956062],1
453,93,[550.7812945  474.61509511],5
454,93,[551.88031332 220.33647178],3
455,93,[834.16128725 308.51265415],10
456,93,[494.45850595 231.1280663 ],8
457,94,[200.53585328 357.36339527],1
458,94,[551.87951695 474.54403673],5
459,94,[552.16082156 220.93874724],3
460,94,[833.0824579 304.053724 ],10
461,94,[484.23341174 232.26416802],8
462,95,[201.34112384 357.04981424],1
463,95,[552.83271761 474.01536632],5
464,95,[551.30619341 220.04950692],3
465,95,[832.43777492 302.47322439],10
466,95,[480.88285063 231.99038254],8
467,96,[202.18021889 356.2676322 ],1
468,96,[553.17937102 474.08108761],5
469,96,[550.29504307 218.75044704],3
470,96,[831.86443888 301.58711962],10
471,96,[480.26899824 232.83379321],8
472,97,[194.52093642 355.10116932],1
473,97,[553.81122566 475.22618973],5
474,97,[549.8280582  217.95367883],3
475,97,[831.66221995 300.62947362],10
476,97,[482.00850066 231.18610836],8
477,98,[183.91351803 352.66243108],1
478,98,[554.23545693 475.56812388],5
479,98,[550.45720876 217.78552835],3
480,98,[831.14013617 298.8291641 ],10
481,98,[480.96211669 231.28778694],8
482,99,[168.61154751 348.75444687],1
483,99,[554.41534797 475.37071296],5
484,99,[551.24934338 217.63673162],3
485,99,[829.71443357 290.63038372],10
486,99,[478.94398258 231.12860109],8
487,100,[149.54071346 351.81298329],1
488,100,[555.16415239 475.28124786],5
489,100,[550.80787085 216.92038975],3
490,100,[828.17305761 289.46978684],10
491,100,[474.82870817 230.56434731],8
492,101,[132.01152927 353.70600434],1
493,101,[555.99890955 474.85277481],5
494,101,[551.73843462 216.79870012],3
495,101,[825.05039777 273.50504307],10
496,101,[468.57801807 232.98235628],8
497,102,[128.16056095 358.49470073],1
498,102,[555.69101225 474.61146981],5
499,102,[553.24946379 217.51024504],3
500,102,[821.2189752  265.37577104],10
501,102,[465.04524802 236.22365622],8
502,103,[128.64734421 359.88600975],1
503,103,[555.80008598 474.11667301],5
504,103,[554.12028335 219.83393949],3
505,103,[819.81605619 261.86195301],10
506,103,[465.24946287 236.51366268],8
507,104,[126.91012168 358.29368038],1
508,104,[556.7016392  472.61178402],5
509,104,[554.49399183 220.03588957],3
510,104,[814.80797175 260.42338278],10
511,104,[465.58588858 237.98682714],8
512,105,[126.92596375 359.25811732],1
513,105,[556.34666903 472.01608162],5
514,105,[554.86479388 220.07857421],3
515,105,[816.24750591 262.22532587],10
516,105,[462.25166706 238.28849359],8
517,106,[127.26036276 359.53762159],1
518,106,[556.31782826 472.48784059],5
519,106,[555.01526191 219.52492977],3
520,106,[812.87247379 262.24501726],10
521,107,[127.05223992 359.28735773],1
522,107,[556.2762832  471.93665173],5
523,107,[554.929946   221.74263105],3
524,107,[813.09723852 261.60630014],10
525,108,[127.12586097 359.66073638],1
526,108,[554.90324873 471.95188709],5
527,108,[555.26585785 222.06897996],3
528,108,[813.40423723 263.014861  ],10
529,108,[863.75206781 365.33442832],2
530,109,[127.45428092 360.16125532],1
531,109,[554.43293622 471.91450605],5
532,109,[555.68517025 222.64753406],3
533,109,[810.79777464 263.22512758],10
534,109,[864.86676341 366.90880781],2
535,110,[128.06933475 361.18688471],1
536,110,[553.6435343  472.18207381],5
537,110,[554.4604046  219.07363324],3
538,110,[808.626183  264.7481492],10
539,110,[863.40793275 366.71965237],2
540,111,[127.8698454  361.68917557],1
541,111,[552.626538   472.53427701],5
542,111,[553.29102225 216.63894565],3
543,111,[806.71175965 263.12646713],10
544,112,[127.83893849 362.09531711],1
545,112,[551.69007288 472.73367676],5
546,112,[552.71840514 214.91086005],3
547,112,[805.90224113 262.42926773],10
548,113,[127.31625792 362.28426467],1
549,113,[551.60334748 472.20452834],5
550,113,[550.73879514 213.89094665],3
551,113,[800.91190194 262.69716129],10
552,114,[127.31373575 362.4957898 ],1
553,114,[550.92153436 471.86857197],5
554,114,[549.60646774 213.69612766],3
555,114,[794.68119309 261.28076114],10
556,115,[127.25309563 361.89904737],1
557,115,[549.23857999 472.31239038],5
558,115,[548.73271493 213.0266801 ],3
559,115,[792.93609638 261.57999863],10
560,116,[126.23079609 359.59418599],1
561,116,[549.09627648 472.05348065],5
562,116,[547.82269527 212.03982354],3
563,116,[788.64226843 260.92001765],10
564,117,[125.82390511 358.95081738],1
565,117,[549.41807862 472.10966258],5
566,117,[547.36264495 215.86098987],3
567,117,[786.7856668  259.96027035],10
568,118,[124.67292923 358.8983016 ],1
569,118,[549.1080437  472.45215889],5
570,118,[545.90044335 216.70786862],3
571,118,[784.91130299 258.81211346],10
572,119,[123.90858226 359.60281747],1
573,119,[548.33248202 472.5120555 ],5
574,119,[545.43929129 217.21634839],3
575,119,[781.38204669 260.22987042],10
576,120,[122.47447231 358.85366657],1
577,120,[548.59474573 472.51848117],5
578,120,[544.74897443 216.23175234],3
579,120,[780.25691401 261.87748621],10
580,121,[121.49105697 359.0372526 ],1
581,121,[547.8760207  472.40645278],5
582,121,[543.91091304 212.75215806],3
583,121,[778.89539512 261.57495516],10
584,122,[120.27060555 358.17386313],1
585,122,[547.139017   472.27884054],5
586,122,[541.45184979 210.46285815],3
587,122,[779.30405434 261.34912483],10
588,123,[118.96063104 357.96896536],1
589,123,[547.00641319 472.93017278],5
590,123,[542.97962082 211.8770379 ],3
591,123,[778.3820793  262.32294354],10
592,124,[116.50169096 356.32585602],1
593,124,[546.68637288 472.96301583],5
594,124,[543.72507435 212.6150835 ],3
595,124,[777.41640246 262.16924315],10
596,125,[115.06529748 354.84948202],1
597,125,[545.65732206 472.38941009],5
598,125,[545.03855626 213.61751993],3
599,125,[775.4485902  262.46460197],10
600,126,[114.6962113  354.48101764],1
601,126,[544.33579984 471.5246509 ],5
602,126,[545.83214743 215.28389032],3
603,126,[771.60828091 262.38252155],10
604,127,[113.35478194 353.3875497 ],1
605,127,[543.14130373 471.16842979],5
606,127,[544.95494262 215.25353554],3
607,127,[771.89536115 262.03836516],10
608,128,[113.31158624 354.45005886],1
609,128,[541.75273982 471.14579873],5
610,128,[539.70876489 211.1358988 ],3
611,128,[770.7380404 260.3060031],10
612,129,[112.4298597  355.68016769],1
613,129,[541.77080027 472.54323069],5
614,129,[536.46787524 209.10398498],3
615,129,[774.33710989 261.99256515],10
616,130,[111.03433311 355.97104141],1
617,130,[542.21456984 473.26501458],5
618,130,[536.19281699 210.45125755],3
619,130,[775.10898298 259.67177665],10
620,131,[110.43099405 357.17314852],1
621,131,[541.27318264 473.62074105],5
622,131,[536.08771622 211.58781515],3
623,131,[774.46419789 258.06778088],10
624,132,[109.871334   357.77237671],1
625,132,[540.64368844 473.88392228],5
626,132,[534.55463797 209.89292791],3
627,132,[774.52789604 257.97530107],10
628,133,[109.4682864  358.21978262],1
629,133,[541.23919278 473.77081588],5
630,133,[532.26513081 208.55172967],3
631,133,[774.63167493 258.60146462],10
632,134,[108.91923928 358.8888529 ],1
633,134,[541.36024746 474.27287453],5
634,134,[531.30175695 209.54393602],3
635,134,[773.743862   259.04995254],10
636,135,[108.00280083 360.02453046],1
637,135,[542.26540901 473.95804352],5
638,135,[531.17168948 209.82561869],3
639,135,[772.04167309 259.78058955],10
640,136,[107.48577049 360.17368568],1
641,136,[541.6871196  474.11072634],5
642,136,[530.60362363 210.36191823],3
643,136,[772.41756018 258.15223777],10
644,137,[107.59568922 361.27852356],1
645,137,[541.89057338 473.99203637],5
646,137,[530.26466597 209.76947786],3
647,137,[772.08485238 257.14729014],10
648,138,[107.64221095 361.85511154],1
649,138,[540.12625997 474.02837054],5
650,138,[529.10761953 207.45818591],3
651,138,[772.47162882 258.89611914],10
652,139,[107.79939606 362.79467553],1
653,139,[537.42848914 474.89401307],5
654,139,[529.11458761 208.68411006],3
655,139,[782.86565194 285.97256574],10
656,140,[107.81256971 363.27763947],1
657,140,[536.09499927 475.15105773],5
658,140,[528.40467641 208.81846074],3
659,140,[776.82778188 271.74539236],10
660,141,[107.69359945 363.18917106],1
661,141,[533.79318481 475.61674139],5
662,141,[528.79482807 211.03783749],3
663,141,[773.36634925 263.33267559],10
664,142,[107.73346088 362.39660939],1
665,142,[532.47482324 476.47414103],5
666,142,[530.03486015 213.9134388 ],3
667,142,[771.34872922 250.40483122],10
668,143,[107.87540306 361.66151974],1
669,143,[533.31066761 476.39022767],5
670,143,[531.70165186 215.9051195 ],3
671,143,[775.70530823 241.21880607],10
672,144,[107.85333608 361.47541772],1
673,144,[532.4938188  475.24574529],5
674,144,[532.40408337 219.05211081],3
675,144,[783.39262898 231.76760001],10
676,145,[108.34669568 361.13831755],1
677,145,[536.92319786 473.81708384],5
678,145,[531.76890241 223.52664444],3
679,145,[799.74019106 219.05547749],10
680,146,[108.93534137 361.11340185],1
681,146,[542.58162653 471.93927749],5
682,146,[531.21059934 219.35311813],3
683,146,[812.6447326  233.56018686],10
684,147,[109.39537911 361.21690226],1
685,147,[544.53240564 471.05748611],5
686,147,[531.16278497 223.53273165],3
687,147,[826.36489918 243.64146334],10
688,147,[875.06607666 351.91993103],11
689,148,[110.39563611 361.31886304],1
690,148,[545.05653218 472.36946679],5
691,148,[548.29480991 236.55298024],3
692,148,[830.16044111 253.37948609],10
693,148,[882.85566745 354.1813706 ],11
694,149,[110.4709813 361.2566187],1
695,149,[545.1310592  478.21488226],5
696,149,[537.05178858 229.78872848],3
697,149,[828.00845838 260.23812014],10
698,150,[110.45400516 359.62232743],1
699,150,[547.54393025 481.44811312],5
700,150,[530.57186834 227.01598575],3
701,150,[811.73930538 259.72406617],10
702,150,[860.28586558 349.52275147],11
703,151,[110.3047137 357.8340397],1
704,151,[549.49821355 482.84116073],5
705,151,[525.0889513  220.42872352],3
706,151,[815.18170127 278.72998186],10
707,151,[873.1317179  357.28149333],11
708,152,[111.49901553 357.02309954],1
709,152,[554.06344448 483.3716044 ],5
710,152,[525.53766936 216.5989693 ],3
711,152,[815.13234235 271.22630184],10
712,152,[856.40199297 351.26770873],11
713,153,[113.65575252 358.26983397],1
714,153,[554.47263814 483.57607211],5
715,153,[526.76549554 214.84894206],3
716,153,[811.5064166  271.16184373],10
717,154,[115.1097801 357.179426 ],1
718,154,[555.5315655  484.58414073],5
719,154,[527.4841516  219.66378585],3
720,154,[810.51480854 270.41169946],10
721,155,[115.4427265  355.84849212],1
722,155,[556.38500362 486.46507656],5
723,155,[530.57962443 226.69095679],3
724,155,[810.32644305 279.50689568],10
725,155,[856.94786756 367.04184592],11
726,156,[116.66258114 355.92549418],1
727,156,[552.75351505 488.45654969],5
