,x1,y1,x2,y2,s,l,frame
0,553.2779541015625,223.7286834716797,924.6474609375,475.26300048828125,0.9030998945236206,0.0,0.0
1,463.21600341796875,212.53619384765625,595.4716186523438,437.38153076171875,0.9337899684906006,1.0,0.0
2,159.81776428222656,258.6335754394531,513.217529296875,551.5550537109375,0.9999794960021973,3.0,0.0
3,649.2234497070312,220.75778198242188,1024.0,518.887939453125,0.9995242357254028,3.0,0.0
4,451.96807861328125,200.59304809570312,599.5429077148438,435.2713317871094,0.9990278482437134,3.0,0.0
5,413.20941162109375,121.11459350585938,575.4569091796875,448.1706848144531,0.9769341349601746,3.0,0.0
6,466.7486877441406,445.1643981933594,679.7877197265625,576.0,0.8501188158988953,3.0,0.0
7,556.0282592773438,208.96353149414062,923.5730590820312,483.8392639160156,0.9309608340263367,0.0,1.0
8,461.62921142578125,208.8594970703125,595.6813354492188,438.3643798828125,0.8937437534332275,1.0,1.0
9,157.83334350585938,248.8492431640625,517.917236328125,551.5082397460938,0.9999659061431885,3.0,1.0
10,452.53961181640625,205.16763305664062,598.3130493164062,434.7427673339844,0.9983550906181335,3.0,1.0
11,633.0191650390625,216.970947265625,1024.0,501.4395751953125,0.9975672960281372,3.0,1.0
12,394.2657165527344,129.91026306152344,567.11474609375,445.6328125,0.9574953317642212,3.0,1.0
13,468.53460693359375,445.661376953125,679.3064575195312,576.0,0.8467538952827454,3.0,1.0
14,560.4529418945312,223.81973266601562,935.1760864257812,475.0552673339844,0.8929747343063354,0.0,2.0
15,461.0463562011719,206.87701416015625,586.2833251953125,455.4332275390625,0.9616526961326599,1.0,2.0
16,158.49453735351562,258.8155517578125,514.46875,551.377197265625,0.9999656677246094,3.0,2.0
17,450.6893310546875,204.55084228515625,591.0950927734375,442.05633544921875,0.9992464780807495,3.0,2.0
18,644.7677612304688,218.16615295410156,1024.0,481.6436767578125,0.9983238577842712,3.0,2.0
19,469.5364990234375,444.62542724609375,680.644287109375,576.0,0.8807819485664368,3.0,2.0
20,541.61328125,199.78807067871094,866.79931640625,510.552978515625,0.9788632988929749,0.0,3.0
21,460.2403869628906,206.61595153808594,590.1121826171875,446.5283203125,0.9577034711837769,1.0,3.0
22,172.1685028076172,266.58111572265625,521.3856201171875,549.0359497070312,0.9999451637268066,3.0,3.0
23,451.79986572265625,203.69932556152344,595.2351684570312,441.3385009765625,0.9985933899879456,3.0,3.0
24,630.5299072265625,211.35885620117188,1024.0,499.6986999511719,0.9966825842857361,3.0,3.0
25,396.09442138671875,135.05947875976562,566.62646484375,450.2350769042969,0.9798693656921387,3.0,3.0
26,471.4932556152344,453.95001220703125,694.560302734375,576.0,0.8409690856933594,3.0,3.0
27,547.526611328125,186.95091247558594,882.5576171875,514.2362060546875,0.9449683427810669,0.0,4.0
28,465.9893493652344,211.86705017089844,586.993896484375,463.63836669921875,0.9682032465934753,1.0,4.0
29,170.91448974609375,264.0826416015625,525.4214477539062,547.92333984375,0.9998428821563721,3.0,4.0
30,616.0401611328125,200.39096069335938,1024.0,504.0428771972656,0.9977869987487793,3.0,4.0
31,453.9962158203125,205.7646484375,595.0826416015625,445.859375,0.9973467588424683,3.0,4.0
32,395.1085510253906,130.9962615966797,570.2841796875,453.0140380859375,0.9718005657196045,3.0,4.0
33,469.3544921875,443.860107421875,692.6768798828125,576.0,0.73786860704422,3.0,4.0
34,546.5126342773438,183.4507293701172,891.0010375976562,508.4100341796875,0.9397115707397461,0.0,5.0
35,466.2041015625,209.83389282226562,585.6253662109375,462.3723449707031,0.9668232202529907,1.0,5.0
36,163.2783966064453,255.10983276367188,522.9252319335938,549.40185546875,0.9998562335968018,3.0,5.0
37,618.7195434570312,198.4418487548828,1024.0,507.611083984375,0.997980535030365,3.0,5.0
38,454.54290771484375,205.10958862304688,594.1829223632812,445.0819396972656,0.9966323971748352,3.0,5.0
